make,aspiration,body_style,curb_weight,num_of_cylinders,engine_size,price
alfa-romero,std,convertible,,4,130,13495
alfa-romero,std,convertible,,4,130,16500
alfa-romero,std,hatchback,,6,152,16500
audi,std,sedan,,4,109,13950
audi,std,sedan,,5,136,17450
audi,std,sedan,,5,136,15250
audi,std,sedan,,5,136,17710
audi,std,wagon,,5,136,18920
audi,turbo,sedan,,5,131,23875
bmw,std,sedan,,4,108,16430
bmw,std,sedan,,4,108,16925
bmw,std,sedan,,6,164,20970
bmw,std,sedan,,6,164,21105
bmw,std,sedan,,6,164,24565
bmw,std,sedan,,6,209,30760
bmw,std,sedan,,6,209,41315
bmw,std,sedan,,6,209,36880
chevrolet,std,hatchback,,3,61,5151
chevrolet,std,hatchback,,4,90,6295
chevrolet,std,sedan,,4,90,6575
dodge,std,hatchback,,4,90,5572
dodge,std,hatchback,,4,90,6377
dodge,turbo,hatchback,,4,98,7957
dodge,std,hatchback,,4,90,6229
dodge,std,sedan,1989,4,90,6692
dodge,std,sedan,1989,4,90,7609
dodge,turbo,sedan,2191,4,98,8558
dodge,std,wagon,2535,4,122,8921
dodge,turbo,hatchback,2811,4,156,12964
honda,std,hatchback,1713,4,92,6479
honda,std,hatchback,1819,4,92,6855
honda,std,hatchback,1837,4,79,5399
honda,std,hatchback,1940,4,92,6529
honda,std,hatchback,1956,4,92,7129
honda,std,sedan,2010,4,92,7295
honda,std,wagon,2024,4,92,7295
honda,std,hatchback,2236,4,110,7895
honda,std,hatchback,2289,4,110,9095
honda,std,sedan,2304,4,110,8845
honda,std,sedan,2372,4,110,10295
honda,std,sedan,2465,4,110,12945
honda,std,sedan,2293,4,110,10345
isuzu,std,sedan,2337,4,111,6785
isuzu,std,hatchback,2734,4,119,11048
jaguar,std,sedan,4066,6,,32250
jaguar,std,sedan,4066,6,,35550
jaguar,std,sedan,3950,12,,36000
mazda,std,hatchback,1890,4,,5195
mazda,std,hatchback,1900,4,,6095
mazda,std,hatchback,1905,4,,6795
mazda,std,sedan,1945,4,,6695
mazda,std,sedan,1950,4,,7395
mazda,std,hatchback,2380,2,,10945
mazda,std,hatchback,2380,2,,11845
mazda,std,hatchback,2385,2,,13645
mazda,std,hatchback,2500,2,,15645
mazda,std,hatchback,2385,4,,8845
mazda,std,sedan,2410,4,,8495
mazda,std,hatchback,2385,4,,10595
mazda,std,sedan,2410,4,,10245
mazda,std,sedan,2443,4,,10795
mazda,std,hatchback,2425,4,,11245
mazda,std,sedan,2670,4,,18280
mazda,std,sedan,2700,4,,18344
mercedes-benz,turbo,sedan,3515,5,,25552
mercedes-benz,turbo,wagon,3750,5,,28248
mercedes-benz,turbo,hardtop,3495,5,,28176
mercedes-benz,turbo,sedan,3770,5,,31600
mercedes-benz,std,sedan,3740,8,,34184
mercedes-benz,std,convertible,3685,8,,35056
mercedes-benz,std,sedan,3900,8,,40960
mercedes-benz,std,hardtop,3715,8,,45400
mercury,turbo,hatchback,2910,4,,16503
mitsubishi,std,hatchback,1918,4,,5389
mitsubishi,std,hatchback,1944,4,,6189
mitsubishi,std,hatchback,2004,4,,6669
mitsubishi,turbo,hatchback,2145,4,,7689
mitsubishi,turbo,hatchback,2370,4,,9959
mitsubishi,std,hatchback,2328,4,,8499
mitsubishi,turbo,hatchback,2833,4,,12629
mitsubishi,turbo,hatchback,2921,4,,14869
mitsubishi,turbo,hatchback,2926,4,,14489
mitsubishi,std,sedan,2365,4,,6989
mitsubishi,std,sedan,2405,4,,8189
mitsubishi,turbo,sedan,2403,4,,9279
mitsubishi,std,sedan,2403,4,,9279
nissan,std,sedan,1889,4,,5499
nissan,std,sedan,2017,4,,7099
nissan,std,sedan,1918,4,,6649
nissan,std,sedan,1938,4,,6849
